fips_full,geographic_id,tract_id,location_name,year,black_population,total_population,black_percent,black_pop_change,black_pop_pct_change,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001007406,G1100010007406,007406,Tract 74.06,1990,2394,2403,0.99625468164794,-896,-27.23404255319149,007406,007406,007406,0,NA,NA,NA,NA
11001007406,G1100010007406,007406,Census Tract 74.06,2000,3208,3227,0.9941121784939572,814,34.001670843776104,007406,007406,007406,0,NA,NA,NA,NA
11001007406,G1100010007406,007406,Census Tract 74.06,2010,2984,3063,0.9742082925236696,-224,-6.982543640897755,007406,007406,007406,0,NA,NA,NA,NA
11001007406,G1100010007406,007406,Census Tract 74.06,2020,3305,3528,0.9367913832199548,321,10.757372654155496,007406,007406,007406,0,NA,NA,NA,NA
11001007503,G1100010007503,007503,Tract 75.03,1990,2905,3018,0.9625579854208084,NA,NA,007503,007503,007503,9,The Girl Who Raised Pigeons | The Night Rhonda Ferguson Was Killed | The Store | The Sunday Following Mother's Day | A Butterfly on F Street | A New Man,Anacostia | Gladys?s Father's House | Curtis Brother's | The House of Agnes and Maddie | Cleansing Waters Baptist Church | Sam and Hazel?s House | Elizabeth's House,Zone of Action | Setting | Marker,Neighborhood | House | Store | Business | Church
11001007503,G1100010007503,007503,Census Tract 75.03,2000,2445,2515,0.9721669980119284,-460,-15.834767641996558,007503,007503,007503,9,The Girl Who Raised Pigeons | The Night Rhonda Ferguson Was Killed | The Store | The Sunday Following Mother's Day | A Butterfly on F Street | A New Man,Anacostia | Gladys?s Father's House | Curtis Brother's | The House of Agnes and Maddie | Cleansing Waters Baptist Church | Sam and Hazel?s House | Elizabeth's House,Zone of Action | Setting | Marker,Neighborhood | House | Store | Business | Church
11001007503,G1100010007503,007503,Census Tract 75.03,2010,2319,2425,0.9562886597938144,-126,-5.153374233128835,007503,007503,007503,9,The Girl Who Raised Pigeons | The Night Rhonda Ferguson Was Killed | The Store | The Sunday Following Mother's Day | A Butterfly on F Street | A New Man,Anacostia | Gladys?s Father's House | Curtis Brother's | The House of Agnes and Maddie | Cleansing Waters Baptist Church | Sam and Hazel?s House | Elizabeth's House,Zone of Action | Setting | Marker,Neighborhood | House | Store | Business | Church
11001007503,G1100010007503,007503,Census Tract 75.03,2020,2209,2528,0.8738132911392406,-110,-4.743423889607589,007503,007503,007503,9,The Girl Who Raised Pigeons | The Night Rhonda Ferguson Was Killed | The Store | The Sunday Following Mother's Day | A Butterfly on F Street | A New Man,Anacostia | Gladys?s Father's House | Curtis Brother's | The House of Agnes and Maddie | Cleansing Waters Baptist Church | Sam and Hazel?s House | Elizabeth's House,Zone of Action | Setting | Marker,Neighborhood | House | Store | Business | Church
11001007709,G1100010007709,007709,State: 11 County: 001 Tract: 77.09,1980,2236,2588,0.8639876352395672,NA,NA,007709,007709,007709,0,NA,NA,NA,NA
11001007709,G1100010007709,007709,Tract 77.09,1990,2204,2343,0.9406743491250532,-32,-1.4311270125223614,007709,007709,007709,0,NA,NA,NA,NA
11001007709,G1100010007709,007709,Census Tract 77.09,2000,1898,1979,0.9590702374936836,-306,-13.883847549909255,007709,007709,007709,0,NA,NA,NA,NA
11001007709,G1100010007709,007709,Census Tract 77.09,2010,1896,2007,0.9446935724962632,-2,-0.10537407797681768,007709,007709,007709,0,NA,NA,NA,NA
11001007709,G1100010007709,007709,Census Tract 77.09,2020,1874,2072,0.9044401544401544,-22,-1.160337552742616,007709,007709,007709,0,NA,NA,NA,NA
11001007903,G1100010007903,007903,State: 11 County: 001 Tract: 79.03,1980,2444,2444,1,NA,NA,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001007903,G1100010007903,007903,Tract 79.03,1990,1979,2015,0.9821339950372208,-465,-19.02618657937807,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001007903,G1100010007903,007903,Census Tract 79.03,2000,1776,1840,0.9652173913043478,-203,-10.257705912076808,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001007903,G1100010007903,007903,Census Tract 79.03,2010,1536,1774,0.8658399098083427,-240,-13.513513513513514,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001007903,G1100010007903,007903,Census Tract 79.03,2020,1111,1865,0.5957104557640751,-425,-27.669270833333332,007903,007903,007903,1,A New Man,21st Street NW,Setting,Street
11001009700,G1100010009700,009700,Tract   97,1970,4415,4513,0.9782849545756704,NA,NA,009700,009700,009700,0,NA,NA,NA,NA
11001009700,G1100010009700,009700,State: 11 County: 001 Tract: 97,1980,4493,4553,0.9868218756863606,78,1.766704416761042,009700,009700,009700,0,NA,NA,NA,NA
11001009700,G1100010009700,009700,Tract 97,1990,4389,4413,0.9945615227736234,-104,-2.314711773870465,009700,009700,009700,0,NA,NA,NA,NA
11001009700,G1100010009700,009700,Census Tract 97,2000,2281,2309,0.9878735383282806,-2108,-48.02916381863751,009700,009700,009700,0,NA,NA,NA,NA
11001009700,G1100010009700,009700,Census Tract 97,2010,3098,3177,0.9751337740006296,817,35.81762384918895,009700,009700,009700,0,NA,NA,NA,NA
11001009700,G1100010009700,009700,Census Tract 97,2020,3018,3188,0.9466750313676286,-80,-2.5823111684958042,009700,009700,009700,0,NA,NA,NA,NA
11001009807,G1100010009807,009807,State: 11 County: 001 Tract: 98.07,1980,3727,4023,0.9264230673626648,NA,NA,009807,009807,009807,0,NA,NA,NA,NA
11001009807,G1100010009807,009807,Tract 98.07,1990,3258,3384,0.9627659574468084,-469,-12.583847598604777,009807,009807,009807,0,NA,NA,NA,NA
11001009807,G1100010009807,009807,Census Tract 98.07,2000,3136,3238,0.9684990735021618,-122,-3.74462860650706,009807,009807,009807,0,NA,NA,NA,NA
11001009807,G1100010009807,009807,Census Tract 98.07,2010,2937,3072,0.9560546875,-199,-6.345663265306123,009807,009807,009807,0,NA,NA,NA,NA
11001009807,G1100010009807,009807,Census Tract 98.07,2020,3245,3523,0.9210899801305704,308,10.486891385767793,009807,009807,009807,0,NA,NA,NA,NA
11001009907,G1100010009907,009907,State: 11 County: 001 Tract: 99.07,1980,3352,3417,0.9809774656131108,NA,NA,009907,009907,009907,0,NA,NA,NA,NA
11001009907,G1100010009907,009907,Tract 99.07,1990,3081,3097,0.994833710041976,-271,-8.08472553699284,009907,009907,009907,0,NA,NA,NA,NA
11001009907,G1100010009907,009907,Census Tract 99.07,2000,2990,3037,0.9845242015146526,-91,-2.9535864978902953,009907,009907,009907,0,NA,NA,NA,NA
11001009907,G1100010009907,009907,Census Tract 99.07,2010,2763,2836,0.97425952045134,-227,-7.591973244147157,009907,009907,009907,0,NA,NA,NA,NA
11001009907,G1100010009907,009907,Census Tract 99.07,2020,2127,2259,0.9415670650730412,-636,-23.01845819761129,009907,009907,009907,0,NA,NA,NA,NA
11001002802,G1100010002802,002802,Tract 28.02,1990,2124,4770,0.44528301886792454,NA,NA,002802,002802,002802,2,Young Lions,Sixteenth Street | Sherman's Apartment,Marker | Setting,Street | Apartment
11001002802,G1100010002802,002802,Census Tract 28.02,2000,1524,4700,0.3242553191489362,-600,-28.24858757062147,002802,002802,002802,2,Young Lions,Sixteenth Street | Sherman's Apartment,Marker | Setting,Street | Apartment
11001002802,G1100010002802,002802,Census Tract 28.02,2010,1069,4277,0.24994154781388825,-455,-29.855643044619423,002802,002802,002802,2,Young Lions,Sixteenth Street | Sherman's Apartment,Marker | Setting,Street | Apartment
11001002802,G1100010002802,002802,Census Tract 28.02,2020,1048,4685,0.22369263607257203,-21,-1.9644527595884005,002802,002802,002802,2,Young Lions,Sixteenth Street | Sherman's Apartment,Marker | Setting,Street | Apartment
11001000904,G1100010000904,000904,Census Tract 9.04,2020,131,3148,0.04161372299872935,NA,NA,000904,000904,000904,0,NA,NA,NA,NA
