fips_full,census_tract,total_crime,violent_crime,property_crime,year,tract_id,geography,source,data_type,tract_join_id,clean_tract,tract_6,ej_loc_cnt,ej_stories,ej_locatns,ej_spaces,ej_setting
11001007502,007502,234,84,150,2010,007502,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007502,007502,007502,0,NA,NA,NA,NA
11001007502,007502,205,NA,NA,2020,007502,tract,NA,NA,007502,007502,007502,0,NA,NA,NA,NA
11001007707,007707,219,76,143,2010,007707,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007707,007707,007707,0,NA,NA,NA,NA
11001007707,007707,181,NA,NA,2020,007707,tract,NA,NA,007707,007707,007707,0,NA,NA,NA,NA
11001007803,007803,248,69,179,2010,007803,tract,DC Open Data Crime Incidents,crime_counts_by_tract,007803,007803,007803,0,NA,NA,NA,NA
11001007803,007803,278,NA,NA,2020,007803,tract,NA,NA,007803,007803,007803,0,NA,NA,NA,NA
11001008002,008002,166,19,147,2010,008002,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008002,008002,008002,3,An Orange Line Train to Ballston | Gospel | A New Man,North Carolina Avenue | Lincoln Park,Route | Marker | Zone of Action,Street | Park
11001008002,008002,141,NA,NA,2020,008002,tract,NA,NA,008002,008002,008002,3,An Orange Line Train to Ballston | Gospel | A New Man,North Carolina Avenue | Lincoln Park,Route | Marker | Zone of Action,Street | Park
11001008410,008410,130,14,116,2010,008410,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008410,008410,008410,0,NA,NA,NA,NA
11001008410,008410,187,NA,NA,2020,008410,tract,NA,NA,008410,008410,008410,0,NA,NA,NA,NA
11001008802,008802,260,61,199,2010,008802,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008802,008802,008802,0,NA,NA,NA,NA
11001008802,008802,283,NA,NA,2020,008802,tract,NA,NA,008802,008802,008802,0,NA,NA,NA,NA
11001008904,008904,181,53,128,2010,008904,tract,DC Open Data Crime Incidents,crime_counts_by_tract,008904,008904,008904,0,NA,NA,NA,NA
11001008904,008904,157,NA,NA,2020,008904,tract,NA,NA,008904,008904,008904,0,NA,NA,NA,NA
11001009801,009801,96,23,73,2010,009801,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009801,009801,009801,0,NA,NA,NA,NA
11001009801,009801,65,NA,NA,2020,009801,tract,NA,NA,009801,009801,009801,0,NA,NA,NA,NA
11001009301,009301,214,34,180,2010,009301,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009301,009301,009301,0,NA,NA,NA,NA
11001009301,009301,199,NA,NA,2020,009301,tract,NA,NA,009301,009301,009301,0,NA,NA,NA,NA
11001009302,009302,81,16,65,2010,009302,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009302,009302,009302,0,NA,NA,NA,NA
11001009302,009302,70,NA,NA,2020,009302,tract,NA,NA,009302,009302,009302,0,NA,NA,NA,NA
11001009505,009505,125,22,103,2010,009505,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009505,009505,009505,1,Young Lions,New Hampshire Avenue,Marker,Street
11001009505,009505,188,NA,NA,2020,009505,tract,NA,NA,009505,009505,009505,1,Young Lions,New Hampshire Avenue,Marker,Street
11001009811,009811,234,62,172,2010,009811,tract,DC Open Data Crime Incidents,crime_counts_by_tract,009811,009811,009811,0,NA,NA,NA,NA
